# name num_samples height width samples/width avg_x_vel var_x_vel num_pos_x_vel pen_down_samples avg_pressure max_pressure max_pressure_x max_pressure_y pressure_range max_dx avg_ddx max_dy avg_ddy num_neg_vel/Td num_pos_vel/Td
012_9.HWR 232 2060 4583 0.0506218634082 45.474137931 45.474137931 131.0 203.0 494.056034483 953 497 144 953 3038 7.0775862069 1164 3.03017241379 0.522167487685 0.729064039409
004_06.HWR 613 1324 3290 0.18632218845 12.5676998369 12.5676998369 341.0 470.0 418.738988581 861 890 49 861 2266 2.20228384992 287 0.548123980424 0.782978723404 0.985106382979
004_8.HWR 558 2412 4487 0.124359260085 20.0896057348 20.0896057348 313.0 459.0 426.948028674 770 253 -34 770 3475 4.91039426523 1424 2.49641577061 0.747276688453 0.9825708061
003_8.HWR 841 844 3630 0.231680440771 4.31034482759 4.31034482759 507.0 680.0 429.787158145 738 168 90 738 709 -0.938168846611 344 0.570749108205 0.764705882353 0.95
014_3.HWR 809 1224 5720 0.141433566434 14.2645241038 14.2645241038 480.0 649.0 334.980222497 765 2353 -123 765 2924 0.262051915946 185 -0.40173053152 0.651771956857 0.804314329738
015_7.HWR 1928 5468 9692 0.198926950062 7.88018672199 7.88018672199 1154.0 1352.0 361.237551867 822 799 -294 822 3970 0.35632780083 307 -0.0803941908714 0.833579881657 1.125
004_21.HWR 528 1437 4028 0.131082423039 19.4962121212 19.4962121212 255.0 352.0 289.839015152 792 -44 -600 792 3162 4.49621212121 733 1.42234848485 0.846590909091 1.16477272727
003_6.HWR 935 1134 3495 0.267525035765 6.89090909091 6.89090909091 535.0 774.0 438.29197861 760 176 84 760 1668 0.244919786096 473 0.668449197861 0.760981912145 0.888888888889
015_10.HWR 1969 4443 9722 0.202530343551 7.62061960386 7.62061960386 1082.0 1384.0 455.060944642 979 582 -434 979 4053 0.613001523616 353 0.147282884713 0.837427745665 1.06069364162
004_08.HWR 558 2412 4487 0.124359260085 20.0896057348 20.0896057348 313.0 459.0 426.948028674 770 253 -34 770 3475 4.91039426523 1424 2.49641577061 0.747276688453 0.9825708061
